phase,variant,checkpoint_name,decode_mode,metric_name,case_metric_rows,case_count,dice_mean,hd95_mean,hd95_worst,remote_fp_mean,status
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_25000,argmax,myops_scar,44,44,0.4072231588639148,88.17590403387707,243.66758611843034,39.97727272727273,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_25000,argmax,myops_edema,44,44,0.6822385316537958,64.33893148434568,262.129296736083,45.86363636363637,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_25000,pathology_aware,myops_scar,44,44,0.4143998951931705,89.54963728997723,246.23369508351158,40.77272727272727,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_25000,pathology_aware,myops_edema,44,44,0.6833068630421433,64.33455929285411,262.11659494358804,46.27272727272727,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_3332,argmax,myops_scar,44,44,0.19074328906710233,109.08533747479943,198.89388239277764,14.704545454545455,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_3332,argmax,myops_edema,44,44,0.6651890195247755,61.61940227395891,235.70963348703717,27.818181818181817,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_3332,pathology_aware,myops_scar,44,44,0.21217418829271023,108.9212949115267,198.56159075703115,14.704545454545455,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_3332,pathology_aware,myops_edema,44,44,0.6776447849564579,61.48181108807353,235.47983209166046,27.772727272727273,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_4998,argmax,myops_scar,44,44,0.19206270991232896,100.82203389491116,195.3531380366348,15.159090909090908,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_4998,argmax,myops_edema,44,44,0.6711692274494792,58.59272455705022,218.47538382192104,31.318181818181817,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_4998,pathology_aware,myops_scar,44,44,0.2102071859305826,100.51071378505381,195.32363085877526,15.159090909090908,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_4998,pathology_aware,myops_edema,44,44,0.6791424615919177,58.414799513363434,218.3579931018929,31.318181818181817,RUNTIME_METRICS
d1_spatial_br2,m10_d1_spatial_br2_formal,checkpoint_validation_step_5000,argmax,myops_scar,44,44,0.1954912939050888,103.25224904659176,195.10885232339538,16.636363636363637,RUNTIME_METRICS
